place,catu,sexe,secu1,year_acc,victim_age,catv,obsm,motor,catr,circ,surf,situ,vma,jour,mois,lum,dep,com,agg_,int,atm,col,lat,long,hour,nb_victim,nb_vehicules
10,3,2,0.0,2021,25.0,2.0,1.0,1.0,4,1.0,1.0,1.0,30.0,23,2,1,72,72095,2,1,0.0,6.0,48.02284,0.20924,17,2,1
1,1,1,2.0,2021,32.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,30,3,1,13,13005,2,1,0.0,3.0,43.2907,5.59511,14,2,2
2,2,2,1.0,2021,71.0,2.0,2.0,1.0,7,2.0,1.0,1.0,70.0,13,1,3,83,83047,1,1,0.0,1.0,43.161961,6.099837,17,3,2
1,1,1,2.0,2021,57.0,1.0,2.0,1.0,4,2.0,1.0,1.0,30.0,18,10,1,75,75120,2,2,0.0,3.0,48.870782,2.399221,10,3,2
2,2,1,8.0,2021,17.0,2.0,0.0,1.0,6,2.0,1.0,8.0,30.0,9,7,5,67,67124,2,1,0.0,6.0,48.535082,7.634431,3,2,1
1,1,1,2.0,2021,80.0,1.0,2.0,5.0,4,2.0,1.0,1.0,50.0,6,4,1,29,29232,2,6,0.0,3.0,47.9872744275,-4.1273725033,9,2,2
2,2,1,1.0,2021,32.0,2.0,0.0,1.0,3,2.0,2.0,4.0,50.0,15,9,5,94,94002,2,4,1.0,6.0,48.81448,2.41141,2,2,1
1,1,1,2.0,2021,44.0,1.0,2.0,1.0,3,2.0,2.0,1.0,90.0,14,11,1,72,72137,2,9,1.0,3.0,48.4063289717,0.1900076864,14,4,2
10,3,2,0.0,2021,13.0,2.0,1.0,1.0,3,2.0,1.0,1.0,30.0,2,4,1,94,94041,2,1,0.0,6.0,48.81325,2.38513,15,2,1
1,1,1,8.0,2021,18.0,2.0,4.0,3.0,3,3.0,1.0,6.0,50.0,19,10,3,74,74019,1,8,0.0,6.0,45.943085,6.137742,20,1,1
1,1,1,8.0,2021,13.0,1.0,2.0,6.0,3,2.0,2.0,1.0,50.0,17,3,1,92,92046,2,1,1.0,3.0,48.8192557009,2.2957912087,15,2,2
1,1,1,2.0,2021,58.0,1.0,2.0,1.0,3,2.0,1.0,1.0,90.0,21,8,1,72,72231,1,2,0.0,3.0,47.950817,0.327525,13,2,2
1,1,1,2.0,2021,32.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,23,3,5,92,92036,2,1,0.0,3.0,48.937712,2.277321,21,2,2
1,1,1,1.0,2021,30.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,25,9,5,75,75117,2,1,0.0,2.0,48.876951,2.285051,6,4,2
1,1,1,1.0,2021,33.0,2.0,0.0,1.0,1,3.0,2.0,3.0,90.0,4,5,1,77,77337,1,1,0.0,7.0,48.8298070006,2.6189959847,9,1,1
1,1,2,1.0,2021,54.0,2.0,0.0,1.0,1,2.0,2.0,1.0,50.0,22,5,1,13,13088,1,1,0.0,7.0,43.3799192345,5.2192959982,8,1,1
1,1,1,2.0,2021,37.0,1.0,2.0,1.0,2,3.0,1.0,1.0,90.0,16,6,1,92,92019,1,1,0.0,3.0,48.7615123684,2.2509306929,9,2,2
1,1,1,1.0,2021,55.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,5,3,1,69,69259,2,1,0.0,3.0,45.7195103625,4.8659565291,16,2,2
10,3,1,0.0,2021,6.0,2.0,1.0,1.0,4,2.0,2.0,1.0,50.0,26,12,5,59,59599,2,1,0.0,6.0,50.72772,3.17483,21,2,1
2,2,2,1.0,2021,50.0,2.0,2.0,1.0,3,2.0,1.0,1.0,80.0,26,10,1,42,42304,1,2,0.0,1.0,45.535904,4.150128,16,3,2
10,3,2,0.0,2021,26.0,3.0,1.0,1.0,4,2.0,2.0,1.0,5.0,12,1,5,94,94042,2,1,1.0,6.0,48.828783,2.4702,17,2,1
2,2,2,1.0,2021,38.0,2.0,2.0,1.0,4,1.0,1.0,1.0,50.0,15,12,5,29,29019,2,2,0.0,6.0,48.3848674224,-4.5009854436,2,2,1
10,3,2,0.0,2021,25.0,1.0,1.0,1.0,4,1.0,1.0,1.0,50.0,22,8,5,13,13201,2,1,0.0,6.0,43.2928,5.3747,22,2,1
1,1,1,8.0,2021,29.0,5.0,0.0,1.0,3,2.0,1.0,3.0,50.0,14,7,1,31,31247,2,1,0.0,6.0,43.076879,0.678821,20,1,1
1,1,2,1.0,2021,72.0,2.0,2.0,1.0,2,2.0,1.0,1.0,50.0,3,4,1,43,43077,2,3,0.0,3.0,44.891049,3.848251,13,2,2
1,1,1,2.0,2021,26.0,1.0,0.0,3.0,4,2.0,1.0,1.0,50.0,29,7,1,51,51454,2,1,0.0,2.0,49.26646,4.00377,11,2,2
1,1,1,2.0,2021,17.0,1.0,0.0,1.0,4,2.0,1.0,1.0,50.0,28,7,5,13,13106,2,1,0.0,7.0,43.40589,5.35491,0,2,1
4,2,2,1.0,2021,28.0,5.0,2.0,1.0,4,4.0,1.0,1.0,50.0,10,8,5,87,87085,2,3,0.0,3.0,45.8209,1.23037,4,4,2
10,3,2,0.0,2021,15.0,2.0,1.0,1.0,4,3.0,2.0,1.0,30.0,30,12,5,59,59566,2,1,1.0,6.0,50.62852,2.96928,18,3,1
1,1,1,2.0,2021,57.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,22,10,1,6,6088,2,2,0.0,3.0,43.703946,7.267851,17,2,2
1,1,1,1.0,2021,50.0,2.0,0.0,1.0,2,2.0,5.0,1.0,80.0,10,2,3,28,28229,1,1,1.0,1.0,48.45054,1.44365,6,2,2
1,1,1,1.0,2021,23.0,2.0,0.0,1.0,4,3.0,2.0,1.0,50.0,2,10,5,49,49007,2,1,0.0,7.0,47.493507,-0.565346,2,1,1
1,1,1,1.0,2021,37.0,2.0,2.0,1.0,4,2.0,1.0,1.0,50.0,15,6,1,14,14118,2,2,0.0,3.0,49.1752,-0.3798,11,2,2
10,3,1,0.0,2021,71.0,2.0,1.0,1.0,4,2.0,1.0,1.0,50.0,16,12,1,47,47323,2,1,0.0,6.0,44.40729,0.70841,14,2,1
3,2,1,8.0,2021,23.0,2.0,2.0,2.0,3,2.0,1.0,1.0,50.0,16,6,1,93,93070,2,1,0.0,2.0,48.909372,2.332969,11,3,2
10,3,2,0.0,2021,56.0,2.0,1.0,1.0,4,1.0,1.0,1.0,50.0,10,8,1,972,97209,2,1,0.0,6.0,14.604165,-61.072049,10,2,1
1,1,1,2.0,2021,44.0,1.0,6.0,1.0,3,2.0,1.0,1.0,80.0,9,5,1,57,57006,1,1,0.0,7.0,49.058932,7.172667,13,1,1
2,2,2,1.0,2021,34.0,2.0,2.0,1.0,4,1.0,1.0,1.0,70.0,24,7,1,69,69199,2,2,0.0,3.0,45.69451,4.84424,17,3,2
1,1,1,2.0,2021,57.0,1.0,2.0,1.0,4,1.0,1.0,1.0,70.0,10,11,2,75,75112,2,1,0.0,3.0,48.831344,2.404078,7,2,2
1,1,1,8.0,2021,30.0,1.0,2.0,5.0,3,2.0,1.0,1.0,50.0,3,4,2,92,92026,2,1,0.0,3.0,48.899968,2.246622,20,2,2
1,1,1,2.0,2021,29.0,1.0,6.0,1.0,3,2.0,1.0,1.0,80.0,6,10,3,74,74263,1,1,0.0,6.0,46.330195,6.369034,23,1,1
2,2,2,3.0,2021,1.0,2.0,2.0,1.0,1,3.0,1.0,1.0,130.0,13,7,1,33,33366,1,1,0.0,2.0,44.990686,-0.427101,17,3,2
2,2,1,2.0,2021,21.0,1.0,2.0,1.0,1,3.0,1.0,1.0,70.0,17,4,1,94,94034,1,1,0.0,3.0,48.7617,2.31549,19,3,2
1,1,1,2.0,2021,38.0,1.0,2.0,1.0,4,2.0,1.0,1.0,30.0,6,3,2,93,93048,2,2,0.0,1.0,48.86482,2.45325,18,2,2
1,1,1,2.0,2021,54.0,1.0,2.0,1.0,3,2.0,1.0,1.0,50.0,6,9,1,92,92049,2,3,0.0,3.0,48.8170679473,2.3314341194,13,2,2
1,1,1,8.0,2021,37.0,1.0,0.0,1.0,3,2.0,1.0,1.0,30.0,12,11,2,93,93048,2,1,0.0,3.0,48.85781,2.43422,16,2,2
2,2,1,1.0,2021,59.0,2.0,0.0,1.0,4,2.0,1.0,1.0,50.0,22,9,5,76,76351,2,1,0.0,6.0,49.50223,0.13952,1,2,1
10,3,1,0.0,2021,33.0,1.0,1.0,1.0,4,2.0,1.0,6.0,50.0,5,7,1,94,94046,2,9,0.0,6.0,48.7949252045,2.4337935448,20,2,1
1,1,1,2.0,2021,30.0,1.0,0.0,1.0,3,2.0,1.0,1.0,50.0,24,5,2,94,94017,2,3,0.0,3.0,48.8199,2.4826,19,2,2
1,1,1,2.0,2021,24.0,1.0,2.0,1.0,3,3.0,1.0,1.0,50.0,29,3,1,92,92063,2,3,0.0,3.0,48.8830394042,2.1894711256,18,2,2
1,1,1,2.0,2021,40.0,1.0,2.0,1.0,3,2.0,1.0,1.0,50.0,8,9,1,93,93005,2,3,0.0,3.0,48.942612,2.505551,15,2,2
1,1,2,8.0,2021,22.0,1.0,2.0,5.0,4,2.0,1.0,1.0,50.0,15,9,1,73,73065,2,2,0.0,3.0,45.56703,5.92973,13,2,2
1,1,2,2.0,2021,22.0,1.0,2.0,1.0,6,2.0,2.0,8.0,50.0,22,1,1,33,33281,2,9,1.0,1.0,44.833862,-0.637743,9,2,2
1,1,2,1.0,2021,29.0,2.0,0.0,1.0,3,2.0,7.0,3.0,80.0,25,1,1,79,79050,1,1,0.0,6.0,46.866558,-0.587683,9,1,1
1,1,1,2.0,2021,63.0,1.0,2.0,1.0,3,2.0,1.0,1.0,80.0,31,5,1,34,34333,1,9,0.0,1.0,43.503274,3.781947,14,2,2
1,1,1,2.0,2021,29.0,1.0,2.0,5.0,3,1.0,2.0,1.0,50.0,5,12,1,29,29037,2,6,1.0,3.0,47.884312,-4.156185,10,2,2
4,2,1,1.0,2021,33.0,5.0,2.0,1.0,1,1.0,1.0,1.0,110.0,8,2,1,78,78402,1,1,0.0,4.0,48.96515,1.76456,14,12,3
1,1,1,2.0,2021,56.0,1.0,2.0,5.0,4,2.0,1.0,1.0,50.0,28,10,1,77,77169,2,1,0.0,2.0,48.81695,2.61688,15,2,2
1,1,1,1.0,2021,22.0,2.0,2.0,1.0,3,2.0,1.0,1.0,80.0,8,1,1,64,64353,1,1,0.0,1.0,43.091221,-0.382494,16,2,2
1,1,1,2.0,2021,31.0,1.0,2.0,1.0,4,2.0,1.0,1.0,50.0,25,9,5,14,14167,2,1,0.0,3.0,49.20457,-0.29218,20,2,2
1,1,1,1.0,2021,27.0,2.0,2.0,1.0,3,2.0,1.0,1.0,80.0,13,12,1,971,97125,1,2,0.0,3.0,16.267548,-61.320003,11,5,2
1,1,1,8.0,2021,24.0,1.0,2.0,3.0,4,2.0,1.0,1.0,30.0,22,7,1,75,75109,2,2,0.0,3.0,48.871501,2.343064,6,2,2
1,1,1,2.0,2021,25.0,1.0,2.0,1.0,4,2.0,2.0,1.0,50.0,22,6,1,75,75115,2,4,0.0,3.0,48.834404,2.289936,15,4,2
10,3,2,0.0,2021,26.0,2.0,1.0,1.0,4,2.0,1.0,1.0,50.0,2,4,1,45,45232,2,1,0.0,6.0,47.867699,1.87658,12,2,1
1,1,1,1.0,2021,51.0,2.0,0.0,1.0,1,3.0,2.0,1.0,90.0,28,11,3,93,93027,1,1,1.0,6.0,48.92867,2.41463,0,1,1
1,1,1,2.0,2021,41.0,1.0,2.0,1.0,4,1.0,1.0,1.0,50.0,28,5,1,93,93008,2,9,0.0,3.0,48.9090619112,2.4490579963,16,2,2
10,3,2,0.0,2021,12.0,2.0,1.0,1.0,4,1.0,1.0,1.0,30.0,6,9,1,974,97407,2,1,0.0,1.0,-20.94,55.29,15,3,1
1,1,1,1.0,2021,56.0,2.0,0.0,2.0,4,2.0,1.0,1.0,50.0,28,6,1,974,97409,1,1,0.0,1.0,-20.94248,55.65738,17,2,2
1,1,2,2.0,2021,38.0,1.0,0.0,1.0,4,2.0,1.0,1.0,80.0,30,5,1,46,46117,1,3,0.0,7.0,44.9477,1.863685,17,2,1
1,1,1,2.0,2021,42.0,1.0,2.0,1.0,3,3.0,1.0,1.0,50.0,1,10,1,50,50129,2,1,0.0,3.0,49.63598,-1.63219,14,2,2
